,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
164,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2,"119,133",76320732-9fe8-40c8-9532-bf16a4b45483
165,All the King's Men,1949,110,"Drama,Film-Noir",7.5,"14,270",80c1f8b9-36f0-4648-9103-1a27b4b15d6f
166,Battleground,1949,118,"Action,Drama,History",7.5,"6,970",8e1fd126-bcd3-4f20-bfa7-54bcc056dfe8
167,The Heiress,1949,115,"Drama,Romance",8.2,"14,871",27cd281b-e5bd-4b05-9634-8557891a9593
168,A Letter to Three Wives,1949,103,"Drama,Romance",7.7,"9,000",2c905a08-03f0-45e6-91e7-a9c9bc17826d
169,Twelve O'Clock High,1949,132,"Drama,War",7.7,"13,989",1a47efdd-746d-4c28-bd9f-15d2553c73ae
170,All About Eve,1950,138,Drama,8.2,"125,426",95920d24-3ce7-41e7-bf13-35f70fa38da1
171,Born Yesterday,1950,103,"Comedy,Drama,Romance",7.6,"10,597",7e8fd405-833d-4bba-821c-88f3601017a2
172,Father of the Bride,1950,92,"Comedy,Romance",7.2,"10,742",f83ea7fe-8013-4f13-bda4-4458c4d177e1
173,King Solomon's Mines,1950,103,"Action,Adventure,Romance",6.8,"5,929",da749acb-0277-4941-93b2-54dda27d75fb
174,Sunset Boulevard,1950,110,"Drama,Film-Noir",8.4,"210,129",ed6d6f9d-2b4e-495e-bdfc-4b3c4f96ee5a
175,An American in Paris,1951,114,"Drama,Musical,Romance",7.2,"31,953",11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
176,Decision Before Dawn,1951,119,"Drama,War",7.2,"2,596",1d36e03f-db5b-44e6-8cba-9c914bcb72f0
177,A Place in the Sun,1951,122,"Drama,Romance",7.8,"21,429",4ca1818a-9d22-4a5e-884e-4f892a2232ed
178,Quo Vadis,1951,171,"Biography,Drama,History",7.2,"14,371",493704e4-edf5-493c-ba97-ff530fe7332f
179,A Streetcar Named Desire,1951,122,Drama,8.0,"103,781",2c848e08-0362-4305-b9c6-b52b3210b998
180,The Greatest Show on Earth,1952,152,"Drama,Family,Romance",6.6,"13,797",cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
181,High Noon,1952,85,"Drama,Thriller,Western",8.0,"100,501",839c34d7-1b03-447d-b883-d03e35bd12c5
182,Ivanhoe,1952,106,"Adventure,Drama,History",6.8,"8,627",0726de1a-97f7-4d02-8ebf-ede53d66faf7
183,Moulin Rouge,1952,119,"Biography,Drama,Music",7.1,"5,284",ba1a50b8-ecb8-4626-b122-a29205c20a4f
184,The Quiet Man,1952,129,"Comedy,Drama,Romance",7.8,"36,499",6e88383e-fac9-4946-a4fc-f4d0a9647c07
185,From Here to Eternity,1953,118,"Drama,Romance,War",7.6,"45,045",4053e1d8-c821-4247-a020-baca7eaef18d
186,Julius Caesar,1953,120,"Biography,Drama,History",7.3,"11,012",c809744c-13bb-4ded-b500-91b644ee825f
187,The Robe,1953,135,"Drama,History",6.8,"9,876",2ee37736-fd84-4b57-a9c9-df11a9e70329
188,Roman Holiday,1953,118,"Comedy,Romance",8.0,"132,970",b732f88f-79d4-43c3-b355-02f7898d908f
189,Shane,1953,118,"Drama,Western",7.6,"38,752",32b9e439-a62e-4fbc-b103-dd8cbbd34f5e
190,On the Waterfront,1954,108,"Crime,Drama,Thriller",8.1,"147,893",6e80353a-6ace-497d-9c6c-1756457a6dc8
191,The Caine Mutiny,1954,124,"Drama,War",7.7,"26,649",6eae2bc6-40f4-44f8-85c6-a11f363726cf
192,The Country Girl,1954,104,"Drama,Music",7.3,"5,766",27b1c21b-9ec8-4270-84a1-ff91400e2b2e
193,Seven Brides for Seven Brothers,1954,102,"Comedy,Drama,Musical",7.4,"23,448",96a4a3d6-e8dd-40cb-a54c-b5dbcbfc5e32
194,Three Coins in the Fountain,1954,102,"Drama,Romance",6.3,"3,276",2ebbefba-fb33-47ed-97bb-2b22c85606db
195,Marty,1955,90,"Drama,Romance",7.7,"22,916",0e335b5a-ed13-4c51-8028-d489d57a1e75
196,Love Is a Many-Splendored Thing,1955,102,"Biography,Drama,Romance",6.5,"4,688",2bd69ac3-6b2e-4132-b1b0-0f073a1c75e9
197,Mister Roberts,1955,123,"Comedy,Drama,War",7.7,"16,057",eab1a500-de95-4cf8-a44e-314760de571d
198,Picnic,1955,115,"Drama,Romance",7.1,"8,425",d9576b2a-0b16-4c95-b574-4ea6cd782260
199,The Rose Tattoo,1955,117,"Comedy,Drama,Romance",7.0,"3,763",a74c209a-4f5f-4f90-aaec-6c77b62b3ed3
200,Around the World in 80 Days,1956,175,"Adventure,Comedy,Family",6.8,"26,019",a0ddcb59-a173-4ffb-9139-3a1a71d006aa
201,Friendly Persuasion,1956,137,"Drama,Romance,War",7.4,"6,784",bde43e69-9c9b-4b7b-a438-f5aa9dcb8808
202,Giant,1956,201,"Drama,Western",7.6,"36,951",c77c1d53-c9ea-400d-ad82-7e740e7f1e29
203,The King and I,1956,133,"Biography,Drama,Musical",7.4,"24,685",05914cd6-60ae-4836-bdc7-1e6ec4b1eb8c
204,The Ten Commandments,1956,220,"Adventure,Drama",7.9,"66,969",7f920258-daa7-4df8-84f1-2f41ddb99b9d
205,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War",8.1,"210,558",fc627090-b4c0-418b-8437-94b0f41d9bba
206,12 Angry Men,1957,96,"Crime,Drama",9.0,"725,938",4b3c9249-b991-4a5a-b35d-bf98e217e2bf
207,Peyton Place,1957,157,"Drama,Romance",7.2,"5,707",548cd53c-e455-4fe0-b10b-64d59cadc17b
208,Sayonara,1957,147,"Drama,Romance",7.1,"6,473",76b1d406-1398-4917-9007-23484d207a8d
209,Witness for the Prosecution,1957,116,"Crime,Drama,Mystery",8.4,"115,545",db810dc3-c8f5-40be-b525-a77898135ad4
